"ISBN","Book-Title","Book-Author","Year-of-Publication","Publisher","Quantity"
"0195153448","Classical Mythology","Mark P. O. Morford","2002","Oxford University Press","99"
"0002005018","Clara Callan","Richard Bruce Wright","2001","HarperFlamingo Canada","95"
"0060973129","Decision in Normandy","Carlo D'Este","1991","HarperPerennial","81"
"0374157065","Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It","Gina Bari Kolata","1999","Farrar Straus Giroux","60"
"0393045218","The Mummies of Urumchi","E. J. W. Barber","1999","W. W. Norton &amp; Company","69"
"0399135782","The Kitchen God's Wife","Amy Tan","1991","Putnam Pub Group","79"
"0425176428","What If?: The World's Foremost Military Historians Imagine What Might Have Been","Robert Cowley","2000","Berkley Publishing Group","24"
"0671870432","PLEADING GUILTY","Scott Turow","1993","Audioworks","54"
"0679425608","Under the Black Flag: The Romance and the Reality of Life Among the Pirates","David Cordingly","1996","Random House","68"
"074322678X","Where You'll Find Me: And Other Stories","Ann Beattie","2002","Scribner","41"
"0771074670","Nights Below Station Street","David Adams Richards","1988","Emblem Editions","77"
"080652121X","Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust","Adam Lebor","2000","Citadel Press","96"
"0887841740","The Middle Stories","Sheila Heti","2004","House of Anansi Press","62"
"1552041778","Jane Doe","R. J. Kaiser","1999","Mira Books","55"
"1558746218","A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)","Jack Canfield","1998","Health Communications","90"
"1567407781","The Witchfinder (Amos Walker Mystery Series)","Loren D. Estleman","1998","Brilliance Audio - Trade","27"
"1575663937","More Cunning Than Man: A Social History of Rats and Man","Robert Hendrickson","1999","Kensington Publishing Corp.","61"
"1881320189","Goodbye to the Buttermilk Sky","Julia Oliver","1994","River City Pub","84"
"0440234743","The Testament","John Grisham","1999","Dell","69"
"0452264464","Beloved (Plume Contemporary Fiction)","Toni Morrison","1994","Plume","52"
"0609804618","Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source","The Onion","1999","Three Rivers Press","76"
"1841721522","New Vegetarian: Bold and Beautiful Recipes for Every Occasion","Celia Brooks Brown","2001","Ryland Peters &amp; Small Ltd","19"
"1879384493","If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself","J. R. Parrish","2003","Cypress House","80"
"0061076031","Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)","Mary-Kate &amp; Ashley Olsen","2000","HarperEntertainment","85"
"0439095026","Tell Me This Isn't Happening","Robynn Clairday","1999","Scholastic","75"
"0689821166","Flood : Mississippi 1927","Kathleen Duey","1998","Aladdin","51"
"0971880107","Wild Animus","Rich Shapero","2004","Too Far","49"
"0345402871","Airframe","Michael Crichton","1997","Ballantine Books","34"
"0345417623","Timeline","MICHAEL CRICHTON","2000","Ballantine Books","37"
"0684823802","OUT OF THE SILENT PLANET","C.S. Lewis","1996","Scribner","100"
"0375759778","Prague : A Novel","ARTHUR PHILLIPS","2003","Random House Trade Paperbacks","58"
"0425163091","Chocolate Jesus","Stephan Jaramillo","1998","Berkley Publishing Group","50"
"3404921038","Wie Barney es sieht.","Mordecai Richler","2002","L�?¼bbe","72"
"3442353866","Der Fluch der Kaiserin. Ein Richter- Di- Roman.","Eleanor Cooney","2001","Goldmann","52"
"3442410665","Sturmzeit. Roman.","Charlotte Link","1991","Goldmann","49"
"3442446937","Tage der Unschuld.","Richard North Patterson","2000","Goldmann","55"
"0375406328","Lying Awake","Mark Salzman","2000","Alfred A. Knopf","49"
"0446310786","To Kill a Mockingbird","Harper Lee","1988","Little Brown &amp; Company","34"
"0449005615","Seabiscuit: An American Legend","LAURA HILLENBRAND","2002","Ballantine Books","10"
"0060168013","Pigs in Heaven","Barbara Kingsolver","1993","Harpercollins","64"
"038078243X","Miss Zukas and the Raven's Dance","Jo Dereske","1996","Avon","80"
"055321215X","Pride and Prejudice","Jane Austen","1983","Bantam","92"
"067176537X","The Therapeutic Touch: How to Use Your Hands to Help or to Heal","Dolores Krieger","1979","Fireside","14"
"0061099686","Downtown","Anne Rivers Siddons","1995","HarperTorch","31"
"0553582909","Icebound","Dean R. Koontz","2000","Bantam Books","76"
"0671888587","I'll Be Seeing You","Mary Higgins Clark","1994","Pocket","12"
"0553582747","From the Corner of His Eye","Dean Koontz","2001","Bantam Books","15"
"0425182908","Isle of Dogs","Patricia Cornwell","2002","Berkley Publishing Group","77"
"042518630X","Purity in Death","J.D. Robb","2002","Berkley Publishing Group","76"
"0440223571","This Year It Will Be Different: And Other Stories","Maeve Binchy","1997","Dell","16"
"0812523873","Proxies","Laura J. Mixon","1999","Tor Books","11"
"0842342702","Left Behind: A Novel of the Earth's Last Days (Left Behind #1)","Tim Lahaye","2000","Tyndale House Publishers","89"
"0440225701","The Street Lawyer","JOHN GRISHAM","1999","Dell","92"
"0060914068","Love, Medicine and Miracles","M.D. Bernie S. Siegel","1988","HarperCollins Publishers","85"
"0156047624","All the King's Men","Robert Penn Warren","1982","Harvest Books","25"
"0245542957","Pacific Northwest","Hans Johannes Hoefer","1985","Chambers Harrap Publishers Ltd","80"
"0380715899","A Soldier of the Great War","Mark Helprin","1992","Avon Books","96"
"0553280333","Getting Well Again","O. Carol Simonton Md","1992","Bantam","25"
"0961769947","Northwest Wines and Wineries","Chuck Hill","1993","Speed Graphics","19"
"0964778319","An Atmosphere of Eternity: Stories of India","David Iglehart","2002","Sunflower Press","35"
"0671623249","LONESOME DOVE","Larry McMurtry","1986","Pocket","59"
"0679810307","Shabanu: Daughter of the Wind (Border Trilogy)","SUZANNE FISHER STAPLES","1991","Laurel Leaf","79"
